in_taxa,out_taxa
acartia spp. (unidentified),acartia spp.
amphipoda (unidentified),amphipoda spp.
appendicularia,appendicularia spp.
bivalvia larvae,bivalvia spp.
calanus finmarchicus,calanus finmarchicus v-vi
calanus i-iv,calanus i-iv
calanus v-vi unidentified,calanus spp.
candacia i-iv,candacia spp.
candacia spp. (unidentified),candacia spp.
centropages spp. (unidentified),centropages spp.
copepod eggs,copepoda spp.
copepod nauplii,copepoda spp.
cumacea,cumacea spp.
decapod megalopa,decapoda spp.
decapod zoea,decapoda spp.
decapoda larvae (total),decapoda spp.
doliolidae,doliolidae spp.
euchaetidae (unidentified),euchaeta spp.
euphausiacea total,euphausiacea spp.
fish eggs (total),fish eggs
fish eggs with oil globules,fish eggs
fish eggs without oil globules,fish eggs
foraminifera (total),foraminifera spp.
gammaridea,gammaridea spp.
gastropoda (unidentified),gastropoda spp.
gymnosomata (unidentified),gymnosomoata spp.
harpacticoida total traverse,harpacticoida spp.
hyperiidea (total),hyperiidea spp.
ischnocalanus,ischnocalanus spp.
lepas nauplii,lepas spp.
metridia spp. (v-vi) (unidentified),metridia spp.
monstrilloida,monstrilloida spp.
ostracoda,ostracoda spp.
pleuromamma spp. (unidentified),pleuromamma spp.
polychaete larvae (unidentified),polychaeta larva
pseudocalanus spp. adult atlantic,pseudocalanus spp.
pseudocalanus spp. adult total,pseudocalanus spp.
radiolaria non-acantharian,radiolaria spp.
radiolaria total,radiolaria spp.
salpidae (total),salpidae spp.
siphonostomatoida,siphonostomatoida spp.
thecosomata (north atlantic),thecosomata spp.
tintinnida total,tintinnidae spp.
