eyecount zoo,,
Taxon Name,Accepted ID,
Calanus finmarchicus,40,
Calanus hyperboreus,44,
Neocalanus gracilis,45,
Nannocalanus minor,47,
Rhincalanus nasutus,50,
Euchirella rostrata,51,
Metridia lucens,55,
Metridia longa,56,
Pleuromamma abdominalis,58,
Pleuromamma borealis,59,
Candacia armata,61,
Tomopteris spp.,80,
Gammaridea,81,
Hyperiidea (Total),82,
Decapoda larvae (Total),83,
Clione limacina,84,
Euphausiacea Total,88,
Chaetognatha eyecount,89,
Fish eggs (Total),90,
Fish larvae,91,
Centropages bradyi,380,
Euchaeta marina,393,
Scolecithrix danae,416,
Pleuromamma spp. (Unidentified),434,
Paedoclione doliiformis,448,
Polychaete larvae (unidentified),450,
Ostracoda,459,
Gymnosomata (Unidentified),480,
Salpidae (Total),977,
Alteutha spp.,985,
Metridia spp. (V-VI) (unidentified),1677,
Decapod megalopa,10568,included in 83
Decapod zoea,10569,included in 83
Fish eggs with oil globules,10572,included in 90
Fish eggs without oil globules,10573,included in 90
Paraeuchaeta norvegica,10605,
Euchaetidae (unidentified),10606,
Parathalestris croni,10610,
Plastic Total (trial),10714,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
