Phyto,,,,,,trav,,,,,,Eye,,,
id,Taxon Name,,,,,taxa,Taxon Name,,,,,id,Taxon Name,,
101,Paralia sulcata,,,,,1,Calanus I-IV,,,,,40,Calanus finmarchicus,,
102,Skeletonema costatum,,,,,3,Para-Pseudocalanus spp.,,,,,44,Calanus hyperboreus,,
103,Thalassiosira spp.,,,,,4,Temora longicornis,,,,,45,Neocalanus gracilis,,
108,Rhizosolenia hebetata semispina,,,,,5,Acartia spp. (unidentified),,,,,47,Nannocalanus minor,,
112,Chaetoceros(Hyalochaete) spp.,,,,,6,Centropages typicus,,,,,50,Rhincalanus nasutus,,
113,Chaetoceros(Phaeoceros) spp.,,,,,7,Centropages hamatus,,,,,51,Euchirella rostrata,,
116,Thalassiothrix longissima,,,,,9,Clausocalanus spp.,,,,,55,Metridia lucens,,
117,Thalassionema nitzschioides,,,,,10,Oithona spp.,,,,,56,Metridia longa,,
121,Ceratium fusus,,,,,11,Corycaeus spp.,,,,,58,Pleuromamma abdominalis,,
122,Ceratium furca,,,,,30,Podon spp.,,,,,59,Pleuromamma borealis,,
123,Ceratium lineatum,,,,,31,Evadne spp.,,,,,61,Candacia armata,,
124,Ceratium tripos,,,,,35,Cyphonautes,,,,,80,Tomopteris spp.,,
125,Ceratium macroceros,,,,,36,Echinoderm larvae,,,,,81,Gammaridea,,
126,Ceratium horridum,,,,,134,Dictyocysta spp.,,included in 10671,,,82,Hyperiidea (Total),,
127,Ceratium longipes,,,,,135,Parafavella gigantea,,included in 10671,,,83,Decapoda larvae (Total),,
128,Ceratium arcticum,,,,,148,Penilia avirostris,,,,,84,Clione limacina,,
130,Dinoflagellate cysts (Total),,,,,197,Halosphaera spp.,,,,,88,Euphausiacea Total,,
157,Odontella aurita,,,,,302,Ischnocalanus,,,,,89,Chaetognatha eyecount,,
165,Coscinodiscus concinnus,,,,,303,Candacia I-IV,,,,,90,Fish eggs (Total),,
166,Coscinodiscus spp. (Unidentified),,,,,306,Harpacticoida Total Traverse,,,,,91,Fish larvae,,
168,Ditylum brightwellii,,,,,314,Metridia I-IV,,,,,380,Centropages bradyi,,
169,Eucampia zodiacus,,,,,317,Oncaea spp.,,,,,393,Euchaeta marina,,
175,Leptocylindrus danicus,,,,,322,Temora stylifera,,,,,416,Scolecithrix danae,,
177,Cylindrotheca closterium,,,,,326,Copepod nauplii,,,,,434,Pleuromamma spp. (Unidentified),,
187,Rhizosolenia setigera,,,,,327,Acartia longiremis,,,,,448,Paedoclione doliiformis,,
195,Coccolithaceae (Total),,,,,347,Copepod eggs,,,,,450,Polychaete larvae (unidentified),,
198,Silicoflagellates,,,,,350,Cirripede larvae (Total),,,,,459,Ostracoda,,
199,Nitzschia spp. (Unidentified),,,,,351,Euphausiacea calyptopis,,,,,480,Gymnosomata (Unidentified),,
224,Ceratium bucephalum,,,,,352,Euphausiacea nauplii,,,,,977,Salpidae (Total),,
251,Dinophysis spp. Total,,,,,353,Euphausiacea eggs,,,,,985,Alteutha spp.,,
255,Protoperidinium spp.,,,,,354,Foraminifera (Total),,,,,1677,Metridia spp. (V-VI) (unidentified),,
259,Prorocentrum spp. Total,,,,,355,Radiolaria Total,,,,,10568,Decapod megalopa,,included in 83
812,Pinus pollen,,,,,357,Zoothamnium pelagicum,,,,,10569,Decapod zoea,,included in 83
814,Stellate body (Land plant hair),,,,,805,Tintinnopsis spp.,,,,,10572,Fish eggs with oil globules,,included in 90
980,Actiniscus pentasterias,,,,,974,Fusopsis incertae sedis,,,,,10573,Fish eggs without oil globules,,included in 90
1000,Proboscia alata,,,,,1608,Acantharia spp,,included in 355,,,10605,Paraeuchaeta norvegica,,
1001,Leptocylindrus mediterraneus,,,,,1609,Radiolaria non-Acantharian,,included in 355,,,10606,Euchaetidae (unidentified),,
1602,Dinophysis acuta,,,,,1628,Paracalanus spp.,,included in 3 ,,,10610,Parathalestris croni,,
1612,Hyalochaete resting spore,,,,,10031,Appendicularia,,,,,10714,Plastic Total (trial),,
1624,Grammatophora spp.,,,,,10535,Cirripede nauplii,,included in 350 ,,,,,,
1679,Prorocentrum micans,,,,,10540,Codonella spp.,,included in 10671,,,,,,
10509,Braarudosphaera bigelowii,,,included in 195,,10546,Parafavella spp.,,included in 10671,,,,,,
10510,Emiliania huxleyi type,,,included in 195,,10552,Stenosemella spp.,,included in 10671,,,,,,
10513,Coccolithus pelagicus,,,included in 195,,10576,Reophax scotti,,included in 354,,,,,,
10527,Licmophora spp.,,,,,10590,Bivalvia larvae,,included in 350 ,,,,,,
10615,Asterionellopsis glacialis,,,,,10671,Tintinnida Total,,,,,,,,
10620,Prorocentrum spp. ('Exuviaella' type),,,,,10673,Thecosomata (North Atlantic),,,,,,,,
10623,Pseudo-nitzschia delicatissima complex,,,,,10674,Gastropoda (unidentified),,,,,,,,
10624,Pseudo-nitzschia seriata complex,,,,,10742,Pseudocalanus spp. adult Total,,included in 3,,,,,,
10684,Rhizosolenia imbricata,,,,,,,,,,,,,,
10712,Delphineis surirella,,,,,,,,,,,,,,
