eyecount zoo,,
Taxon Name,Accepted ID,
Calanus finmarchicus,40,
Calanus glacialis,42,
Calanus hyperboreus,44,
Nannocalanus minor,47,
Metridia lucens,55,
Metridia longa,56,
Pleuromamma borealis,59,
Candacia armata,61,
Tomopteris spp.,80,
Hyperiidea (Total),82,
Decapoda larvae (Total),83,
Clione limacina,84,
Euphausiacea Total,88,
Chaetognatha eyecount,89,
Fish eggs (Total),90,
Fish larvae,91,
Scolecithrix danae,416,
Candacia spp. (Unidentified),429,
Pleuromamma spp. (Unidentified),434,
Polychaete larvae (unidentified),450,
Cumacea,454,
Lepas nauplii,457,
Ostracoda,459,
Amphipoda (Unidentified),626,
Labidocera acutifrons,961,
Salpidae (Total),977,
Doliolidae,978,
Alteutha spp.,985,
Metridia spp. (V-VI) (unidentified),1677,
Siphonostomatoida,10066,
Monstrilloida,10069,
Thalia democratica,10564,
Calanus V-VI unidentified,10566,
Decapod megalopa,10568,
Decapod zoea,10569,
Fish eggs with oil globules,10572,
Fish eggs without oil globules,10573,
Paraeuchaeta norvegica,10605,included in 90
Euchaetidae (unidentified),10606,included in 90
Parathalestris croni,10610,
Plastic Total (trial),10714,
Plastic flake colour other,10735,
Anomalocera opalus,10741,
