phyto ,
Taxon Name,Accepted ID
Paralia sulcata,101
Skeletonema costatum,102
Thalassiosira spp.,103
Rhizosolenia hebetata semispina,108
Chaetoceros(Hyalochaete) spp.,112
Chaetoceros(Phaeoceros) spp.,113
Odontella sinensis,114
Thalassiothrix longissima,116
Thalassionema nitzschioides,117
Ceratium fusus,121
Ceratium furca,122
Ceratium lineatum,123
Ceratium tripos,124
Ceratium macroceros,125
Ceratium horridum,126
Ceratium longipes,127
Ceratium arcticum,128
Dinoflagellate cysts (Total),130
Bacteriastrum spp.,154
Bellerochea malleus,155
Odontella aurita,157
Coscinodiscus spp. (Unidentified),166
Ditylum brightwellii,168
Eucampia zodiacus,169
Fragilaria spp.,170
Navicula spp.,176
Cylindrotheca closterium,177
Stephanopyxis spp.,190
Coccolithaceae (Total),195
Pterosperma spp. (Total),196
Silicoflagellates,198
Nitzschia spp. (Unidentified),199
Ceratium pentagonum,240
Dinophysis spp. Total,251
Gonyaulax spp.,253
Protoperidinium spp.,255
Pinus pollen,812
Stellate body (Land plant hair),814
Coscinodiscus wailesii,976
Proboscia alata,1000
Dinophysis acuta,1602
Hyalochaete resting spore,1612
Scrippsiella cysts,10505
Acanthoica quattrospina,10508
Emiliania huxleyi type,10510
Rhabdosphaera clavigera,10511
Syracosphaera pulchra,10512
Coccolithus pelagicus,10513
Licmophora spp.,10527
Asterionellopsis glacialis,10615
Prorocentrum spp. ('Exuviaella' type),10620
Pseudo-nitzschia delicatissima complex,10623
Pseudo-nitzschia seriata complex,10624
Corethron hystrix,10681
Rhizosolenia imbricata,10684
Delphineis surirella,10712
