cruise,station,date,lat,lon,taxon,taxa_id_number,abundance_per_transect,abundance
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Calanus finmarchicus,40,2,66.95477305512286
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Calanus glacialis,42,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Calanus hyperboreus,44,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Nannocalanus minor,47,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Metridia lucens,55,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Metridia longa,56,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Pleuromamma borealis,59,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Candacia armata,61,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Tomopteris spp.,80,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Hyperiidea (Total),82,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Decapoda larvae (Total),83,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Clione limacina,84,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Euphausiacea Total,88,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Chaetognatha eyecount,89,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Fish eggs (Total),90,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Fish larvae,91,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Scolecithrix danae,416,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Candacia spp. (Unidentified),429,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Pleuromamma spp. (Unidentified),434,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Polychaete larvae (unidentified),450,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Cumacea,454,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Lepas nauplii,457,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Ostracoda,459,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Amphipoda (Unidentified),626,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Labidocera acutifrons,961,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Salpidae (Total),977,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Doliolidae,978,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Alteutha spp.,985,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Metridia spp. (V-VI) (unidentified),1677,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Siphonostomatoida,10066,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Monstrilloida,10069,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Thalia democratica,10564,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Calanus V-VI unidentified,10566,2,66.95477305512286
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Decapod megalopa,10568,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Decapod megalopa,10568,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Decapod zoea,10569,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Decapod zoea,10569,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Fish eggs with oil globules,10572,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Fish eggs with oil globules,10572,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Fish eggs without oil globules,10573,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Fish eggs without oil globules,10573,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Paraeuchaeta norvegica,10605,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Paraeuchaeta norvegica,10605,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Euchaetidae (unidentified),10606,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Euchaetidae (unidentified),10606,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Parathalestris croni,10610,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Plastic Total (trial),10714,3,100.43215958268428
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Anomalocera opalus,10741,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Neocalanus gracilis,45,NA,NA
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Rhincalanus nasutus,50,NA,NA
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Euchirella rostrata,51,NA,NA
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Pleuromamma abdominalis,58,NA,NA
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Gammaridea,81,NA,NA
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Centropages bradyi,380,NA,NA
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Euchaeta marina,393,NA,NA
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Paedoclione doliiformis,448,NA,NA
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Gymnosomata (Unidentified),480,NA,NA
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,Calanus finmarchicus,40,6,200.86431916536856
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,Calanus glacialis,42,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,Calanus hyperboreus,44,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,Nannocalanus minor,47,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,Metridia lucens,55,1,33.47738652756143
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,Metridia longa,56,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,Pleuromamma borealis,59,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,Candacia armata,61,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,Tomopteris spp.,80,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,Hyperiidea (Total),82,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,Decapoda larvae (Total),83,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,Clione limacina,84,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,Euphausiacea Total,88,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,Chaetognatha eyecount,89,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,Fish eggs (Total),90,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,Fish larvae,91,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,Scolecithrix danae,416,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,Candacia spp. (Unidentified),429,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,Pleuromamma spp. (Unidentified),434,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,Polychaete larvae (unidentified),450,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,Cumacea,454,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,Lepas nauplii,457,0,0
445MC,3,2014-02-25T08:20:00Z,43.272,-66.233,Ostracoda,459,0,0
