cruise,station,date,lat,lon,pci,taxon,taxa_id_number,abundance_per_transect,abundance
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,1,Paralia sulcata,101,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,1,Skeletonema costatum,102,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,1,Thalassiosira spp.,103,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,1,Rhizosolenia hebetata semispina,108,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,1,Chaetoceros(Hyalochaete) spp.,112,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,1,Chaetoceros(Phaeoceros) spp.,113,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,1,Odontella sinensis,114,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,1,Thalassiothrix longissima,116,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,1,Thalassionema nitzschioides,117,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,1,Ceratium fusus,121,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,1,Ceratium furca,122,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,1,Ceratium lineatum,123,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,1,Ceratium tripos,124,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,1,Ceratium macroceros,125,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,1,Ceratium horridum,126,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,1,Ceratium longipes,127,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,1,Ceratium arcticum,128,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,1,Dinoflagellate cysts (Total),130,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,1,Bacteriastrum spp.,154,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,1,Bellerochea malleus,155,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,1,Odontella aurita,157,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,1,Coscinodiscus spp. (Unidentified),166,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,1,Ditylum brightwellii,168,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,1,Eucampia zodiacus,169,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,1,Fragilaria spp.,170,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,1,Navicula spp.,176,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,1,Cylindrotheca closterium,177,0,0
