cruise,station,date,lat,lon,taxon,taxa_id_number,abundance_per_transect,abundance
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Calanus I-IV,1,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Para-Pseudocalanus spp.,3,50,1673.8693263780715
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Temora longicornis,4,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Acartia spp. (unidentified),5,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Centropages typicus,6,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Centropages hamatus,7,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Clausocalanus spp.,9,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Oithona spp.,10,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Podon spp.,30,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Evadne spp.,31,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Cyphonautes,35,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Echinoderm larvae,36,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Dictyocysta spp.,134,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Parafavella gigantea,135,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Halosphaera spp.,197,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Harpacticoida Total Traverse,306,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Metridia I-IV,314,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Copepod nauplii,326,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Acartia longiremis,327,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Copepod eggs,347,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Cirripede larvae (Total),350,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Euphausiacea calyptopis,351,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Euphausiacea nauplii,352,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Euphausiacea eggs,353,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Foraminifera (Total),354,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Radiolaria Total,355,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Zoothamnium pelagicum,357,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Centropages spp. (Unidentified),431,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Tintinnopsis spp.,805,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Tintinnopsis spp.,805,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Fusopsis incertae sedis,974,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Acantharia spp,1608,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Radiolaria non-Acantharian,1609,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Paracalanus spp.,1628,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Microsetella spp.,1629,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Codonellopsis spp.,1652,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Appendicularia,10031,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Cirripede nauplii,10535,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Cirripede cypris,10536,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Parafavella spp.,10546,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Salpingella spp.,10550,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Stenosemella spp.,10552,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Fritillaria spp.,10584,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Bivalvia larvae,10590,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Bivalvia larvae,10590,0,0
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Pseudocalanus spp. Adult Atlantic,10591,50,1673.8693263780715
445MC,1,2014-02-25T06:07:00Z,43.267,-65.78,Tintinnida Total,10671,0,0
